Lucas,root,669,694,777,698,807,811,691,728,741,793,806,943,738,616,489,417,350,310,309,227,253,216
Dylan,root,240,265,312,311,314,349,422,389,383,435,466,443,494,541,554,525,492,443,366,407,421,679
Julia,root,605,621,568,653,698,716,708,690,655,662,681,725,787,777,767,914,745,566,404,362,251,235
Stijn,root,460,526,615,682,687,664,679,715,666,628,624,654,682,718,653,536,543,448,394,352,306,265
Floris,root,325,319,340,377,376,342,373,373,387,334,337,362,353,304,306,310,307,291,287,231,260,223
Gijs,root,415,390,452,479,479,452,482,435,402,422,426,486,444,509,435,445,401,352,297,255,243,204
Maud,root,388,395,422,435,470,477,548,511,473,627,568,523,466,405,390,360,314,247,248,244,201,199
Roos,root,454,433,450,475,504,490,464,463,515,557,502,532,445,384,322,288,247,207,227,236,261,186
Hendrik,root,187,0,188,203,222,213,255,244,281,286,304,306,321,349,393,379,414,412,418,485,480,471
Joey,root,212,193,182,185,0,198,224,213,260,274,302,335,369,403,452,411,439,428,404,440,517,591
Laura,root,0,160,203,214,253,298,361,381,432,417,437,558,623,663,723,789,862,997,1156,1161,1126,969
Nienke,root,0,172,203,257,285,293,300,333,358,379,402,386,415,410,379,382,381,318,277,261,303,265
Niek,root,251,212,251,223,270,255,274,229,246,248,303,283,288,232,259,268,270,270,230,226,0,214
Simon,root,176,193,202,184,225,225,237,226,234,248,215,243,231,205,242,236,211,207,209,0,198,198
Romy,root,0,165,203,255,263,292,298,274,321,374,447,470,578,660,736,868,827,636,619,520,449,318
Amy,root,342,325,363,346,387,400,419,329,337,368,258,259,178,180,172,171,214,294,296,233,0,192
Casper,root,205,185,167,204,202,208,233,227,257,288,254,246,229,240,232,202,260,275,236,250,226,0
Floor,root,264,290,264,295,382,361,354,395,417,481,512,522,386,402,384,349,276,247,214,185,182,0
Marit,root,160,155,189,197,263,338,373,396,466,535,464,462,463,394,344,224,241,220,192,181,0,211
Stan,root,211,245,273,315,393,360,342,348,352,378,401,499,429,483,544,456,463,396,420,398,244,0
Mike,root,0,0,164,195,243,245,333,329,371,392,460,504,560,616,747,710,753,786,745,718,742,816
Milou,root,341,272,274,283,257,233,224,206,228,171,156,176,213,219,178,188,0,159,0,183,273,240
Elise,root,238,281,291,305,265,291,238,234,279,261,245,240,175,183,192,0,171,162,0,183,197,193
Justin,root,0,0,181,280,313,346,397,393,335,384,450,543,510,501,449,390,438,433,369,293,235,245
Bo,root,199,169,199,217,270,233,187,190,191,224,279,251,235,294,238,260,225,211,170,195,0,0
Demi,root,157,0,182,173,274,286,315,330,372,369,459,590,571,632,736,780,810,789,692,517,288,0
Sam,root,491,494,478,456,443,439,492,444,629,448,792,866,884,948,802,426,388,292,241,209,0,0
Sara,root,547,519,512,542,477,494,491,480,435,408,349,350,311,280,257,202,217,178,161,181,0,0
Bart,root,0,0,0,167,174,216,220,206,227,284,342,491,528,571,632,674,648,644,682,633,672,754
Britt,root,0,0,0,322,372,459,429,456,513,507,664,737,811,640,558,551,450,438,366,299,274,234
Damian,root,189,222,232,249,266,248,333,324,337,354,290,381,349,300,337,335,374,355,222,0,0,0
Esmee,root,371,352,310,362,370,314,282,310,290,292,332,381,394,396,348,277,238,191,206,0,0,0
Myrthe,root,0,0,155,180,180,188,205,234,297,272,254,302,290,324,300,295,297,231,264,226,180,0
Zoë,root,575,549,428,427,417,416,415,366,376,434,447,445,474,570,338,266,232,212,176,0,0,0
Maarten,root,0,0,0,0,176,179,173,174,197,189,268,269,306,317,366,374,420,388,435,438,506,465
Rick,root,0,0,0,0,184,229,271,314,359,410,527,638,781,783,848,926,871,840,809,674,787,837
Sander,root,0,0,0,0,184,210,246,248,272,282,387,463,515,594,690,662,652,644,678,640,617,658
Danique,root,0,0,0,0,193,190,230,274,258,287,345,376,368,424,403,373,374,341,313,290,275,201
Joep,root,295,307,266,295,332,292,259,236,277,263,260,302,275,294,271,214,203,201,0,0,0,0
Julian,root,496,549,508,592,562,562,457,449,465,429,426,434,427,407,426,476,450,351,0,0,0,0
Lynn,root,525,508,542,491,557,480,456,430,366,305,323,261,236,233,238,181,198,178,0,0,0,0
Timo,root,205,0,223,273,281,308,328,309,331,312,402,361,380,370,405,332,299,233,226,0,0,0
Kevin,root,0,0,0,0,0,193,247,277,291,398,413,587,663,697,786,867,941,972,1010,1127,1228,1298
Kim,root,0,0,0,0,0,189,236,284,312,438,498,599,660,742,740,759,797,804,635,597,584,641
Matthijs,root,0,0,0,0,0,206,239,227,247,202,242,285,307,340,356,355,374,335,300,309,324,332
Pim,root,250,246,247,247,239,239,195,169,0,0,0,0,0,348,296,274,316,319,263,282,279,249
Isa,root,580,520,602,628,585,511,552,538,580,658,644,785,661,492,434,369,239,0,0,0,0,0
