Naam,Parent,2014,2013
Bram,root,730,746
Daan,root,751,724
Sophie,root,826,707
Lucas,root,669,694
Emma,root,700,659
Luuk,root,665,657
Jesse,root,533,631
Julia,root,605,621
Thijs,root,538,587
Thomas,root,523,585
